ID,qc1,qc2,qc3,qc4,qc5,qc6,qc7,qc8,qc9,qc10,qc11,qc12,qc13,qc14,qc15,qc16,qc17,qc18,qc19,qc20,qc21,qc22,qc23,qc24,qc25,qc26,qc27,qc28,qc29,qc30,qc31,qc32,qc33,qc34,qc35,qc36,qc37,qc38,qc39,qc40,qc41,qc42,qc43,qc44,qc45,qc46,qc47,qc48,qc49,qc50,qcTIME
152000591,3,3,4,3,4,3,4,2,4,4,3,2,4,3,1,3,4,4,2,3,3,2,2,1,4,1,4,3,3,4,4,5,4,3,2,5,3,2,2,4,3,3,3,3,2,3,2,2,4,4,12/6/2013 5:50:57 PM
150002478,1,5,5,5,5,1,1,4,3,1,1,1,5,1,1,1,5,5,5,1,1,1,1,2,3,4,5,4,3,2,1,2,3,4,5,4,3,2,1,1,2,3,4,5,4,3,0,2,1,2,12/6/2013 5:52:56 PM
150005813,2,5,4,4,3,2,2,3,4,4,5,2,5,1,2,4,4,4,3,1,2,3,3,2,2,2,5,3,5,5,4,2,3,4,2,5,5,1,5,4,1,1,0,4,3,4,1,1,5,1,12/6/2013 6:21:41 PM
150004965,5,4,5,3,4,5,4,2,4,5,4,2,3,3,4,3,4,4,4,4,3,3,1,2,1,1,5,3,3,5,0,0,0,4,3,4,3,3,4,4,1,3,2,4,5,5,1,1,5,1,12/6/2013 6:22:16 PM
151008481,5,2,2,2,4,2,2,3,3,3,3,3,4,5,2,2,4,2,4,2,4,2,4,3,4,4,3,3,3,4,4,2,4,3,2,4,2,3,2,3,2,2,2,3,3,3,2,3,3,3,12/6/2013 6:33:03 PM
151005289,2,5,5,5,5,2,2,2,3,4,5,2,5,3,2,3,5,5,5,2,1,4,2,2,3,2,5,4,5,5,4,1,5,4,1,4,1,1,3,5,1,3,3,5,5,5,2,1,4,1,12/6/2013 6:33:50 PM
152007678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/6/2013 6:52:22 PM
152007678,3,2,2,1,2,5,4,4,3,1,3,5,3,5,3,2,3,3,2,5,2,3,2,2,5,3,4,2,3,4,4,3,4,3,4,2,3,2,3,2,2,3,2,3,3,3,3,2,3,3,12/6/2013 6:59:04 PM
150008875,4,4,4,4,4,3,4,3,4,5,4,4,4,5,4,3,4,4,4,4,2,4,2,4,4,2,4,3,4,4,4,4,4,4,2,4,4,2,4,3,4,4,4,4,4,4,3,2,4,2,12/6/2013 7:17:15 PM
146008792,4,4,5,3,5,2,2,1,4,5,5,3,5,5,3,2,5,5,5,4,2,5,1,4,4,5,4,2,5,4,4,2,5,5,1,4,4,4,4,3,1,2,2,5,1,5,2,1,5,1,12/6/2013 7:25:54 PM
152007350,5,4,4,4,5,4,3,2,4,5,3,3,4,4,2,3,3,4,4,4,2,4,3,4,4,3,4,2,3,4,4,4,4,3,2,2,2,2,4,4,2,3,2,5,4,4,2,2,4,3,12/6/2013 7:54:15 PM
152002101,4,5,5,5,5,3,3,3,4,5,5,1,5,3,2,5,5,5,4,1,1,3,2,1,0,2,5,5,5,5,4,4,5,5,1,5,5,1,2,5,3,5,0,5,3,5,2,1,5,1,12/6/2013 8:04:41 PM
