school_name,school_county,school_type,state_district_id,total_students,9_grade_students,10_grade_students,11_grade_students,12_grade_students,total_male,total_female,total_american_indian_alaskan,total_asians,total_black,total_hispanic,total_white,free_lunch_eligible,student_teacher_ratio,fte_teachers,school_level,low_grade,high_grade
GOVERNOR LIVINGSTON H S,UNION,1-Regular school,3401530,669,75,82,261,240,329,340,0,35,9,52,572,8,8.65,77.3,3-High,9th Grade,12th Grade
GREYSTONE PARK PSYCHIATRIC HOSPITAL,MORRIS,4-Alternative/other school,3400085,3,0,1,0,2,1,2,0,0,1,1,1,0,1.5,2,3-High,10th Grade,12th Grade
HACKENSACK HIGH SCHOOL,BERGEN,1-Regular school,3406270,1773,544,439,349,425,931,842,1,80,516,760,413,594,16.42,108,3-High,9th Grade,12th Grade
HACKETTSTOWN HIGH SCHOOL,WARREN,1-Regular school,3406300,928,220,234,208,266,479,449,8,37,13,79,785,79,17.71,52.4,3-High,9th Grade,12th Grade
HADDON HEIGHTS JR  SR HIGH SCHOOL,CAMDEN,1-Regular school,3406330,763,144,179,168,178,374,389,0,13,177,15,555,105,11.68,65.3,3-High,7th Grade,12th Grade
HADDON TWP HIGH SCHOOL,CAMDEN,1-Regular school,3406360,571,102,131,128,146,285,286,0,19,9,29,506,44,19.55,29.2,3-High,9th Grade,12th Grade
HADDONFIELD MEMORIAL HIGH SCHOOL,CAMDEN,1-Regular school,3406390,758,191,172,185,210,363,395,0,28,14,14,700,9,15.69,48.3,3-High,9th Grade,12th Grade
HAMILTON EAST  STEINERT,MERCER,1-Regular school,3406540,1532,353,387,398,362,759,773,2,54,70,118,1251,79,16.63,92.1,3-High,9th Grade,12th Grade
HAMILTON NORTH  NOTTINGHAM,MERCER,1-Regular school,3406540,1366,349,306,319,319,660,706,1,37,437,305,545,436,16.76,81.5,3-High,9th Grade,12th Grade
HAMILTON WEST  WATSON,MERCER,1-Regular school,3406540,1313,351,307,311,301,666,647,2,32,264,263,721,288,16.07,81.7,3-High,9th Grade,12th Grade
HAMMONTON HIGH SCHOOL,ATLANTIC,1-Regular school,3406570,1408,358,344,333,309,743,665,1,7,58,169,1160,288,16.82,83.7,3-High,9th Grade,12th Grade
HANOVER PARK HIGH SCHOOL,MORRIS,1-Regular school,3406660,797,202,216,177,202,404,393,0,87,19,33,658,13,14.44,55.2,3-High,9th Grade,12th Grade
HARP HEALTH& RELATED PROF ACADEMY,PASSAIC,1-Regular school,3412690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3-High,9th Grade,12th Grade
HARRISON HIGH SCHOOL,HUDSON,1-Regular school,3406870,624,133,164,159,158,335,289,0,24,11,399,190,348,12.12,51.5,3-High,9th Grade,12th Grade
HASBROUCK HEIGHTS HIGH SCHOOL,BERGEN,1-Regular school,3406930,481,128,136,114,103,264,217,0,77,21,99,284,32,12.86,37.4,3-High,9th Grade,12th Grade
HAWTHORNE HIGH SCHOOL,PASSAIC,1-Regular school,3406990,705,183,175,161,174,372,333,0,14,20,144,527,84,16.87,41.8,3-High,9th Grade,12th Grade
HENRY HUDSON REGIONAL SCHOOL,MONMOUTH,1-Regular school,3407050,401,66,74,62,79,211,190,0,8,19,21,350,90,11.23,35.7,3-High,7th Grade,12th Grade
HENRY P BECTON REGIONAL H S,BERGEN,1-Regular school,3402800,488,127,126,116,119,244,244,1,35,28,128,293,85,14.35,34,3-High,9th Grade,12th Grade
HENRY SNYDER,HUDSON,1-Regular school,3407830,1103,420,284,185,214,575,528,4,40,805,204,36,741,14.91,74,3-High,9th Grade,12th Grade
HIGH POINT REGIONAL H S,SUSSEX,1-Regular school,3407140,1132,250,256,317,285,551,581,1,14,15,44,1058,86,11.88,95.3,3-High,9th Grade,12th Grade
HIGH SCHOOL OF INFO TECH,PASSAIC,1-Regular school,3412690,578,187,158,100,103,317,261,0,3,211,361,3,394,10.91,53,3-High,9th Grade,12th Grade
HIGH TECH HIGH SCHOOL,HUDSON,3-Vocational school,3407570,598,148,155,143,152,274,324,1,99,58,233,200,138,10.33,57.9,3-High,9th Grade,12th Grade
HIGH TECHNOLOGY HIGH SCHOOL,MONMOUTH,3-Vocational school,3417500,268,71,69,70,58,165,103,0,121,2,4,140,2,11.17,24,3-High,9th Grade,12th Grade
HIGH SCHOOLLAND HIGH SCHOOL,CAMDEN,1-Regular school,3401770,1133,291,264,260,300,588,545,2,60,286,79,696,205,19.4,58.4,3-High,9th Grade,12th Grade
HIGH SCHOOLLAND PARK HIGH SCHOOL,MIDDLESEX,1-Regular school,3407170,413,103,108,99,96,210,203,1,66,66,69,198,70,15.07,27.4,3-High,9th Grade,12th Grade
HIGH SCHOOLTSTOWN HIGH SCHOOL,MERCER,1-Regular school,3404320,1346,363,362,311,291,713,633,0,195,171,325,653,250,12.76,105.5,3-High,9th Grade,12th Grade
HILLCREST ACADEMY  NORTH,UNION,1-Regular school,3416400,60,7,11,25,17,36,24,0,0,31,27,2,39,8,7.5,3-High,9th Grade,12th Grade
HILLCREST ACADEMY  SOUTH,UNION,1-Regular school,3416400,64,1,22,22,19,32,32,0,0,38,24,2,42,8,8,3-High,9th Grade,12th Grade
HILLSBOROUGH HIGH SCHOOL,SOMERSET,1-Regular school,3407230,2419,604,590,638,563,1257,1162,0,268,121,156,1867,103,16.12,150.1,3-High,9th Grade,12th Grade
HILLSIDE HIGH SCHOOL,UNION,1-Regular school,3407290,916,211,232,181,158,489,427,0,17,642,166,91,327,12.18,75.2,3-High,9th Grade,12th Grade
HOBOKEN CS,HUDSON,1-Regular school,3400032,274,23,20,18,17,137,137,0,8,47,92,117,27,9.13,30,4-Other,Kindergarten,12th Grade
HOBOKEN HIGH SCHOOL,HUDSON,1-Regular school,3407350,674,131,149,145,150,383,291,0,10,139,421,104,414,16.85,40,3-High,8th Grade,12th Grade
HOLMDEL HIGH SCHOOL,MONMOUTH,1-Regular school,3407410,808,15,242,277,265,417,391,0,182,6,47,542,6,11.71,69,3-High,9th Grade,12th Grade
HOPATCONG HIGH SCHOOL,SUSSEX,1-Regular school,3407440,715,147,169,168,183,379,336,1,12,23,109,570,105,16.44,43.5,3-High,9th Grade,12th Grade
HOWELL HIGH SCHOOL,MONMOUTH,1-Regular school,3405610,2259,449,576,605,612,1115,1144,2,59,98,109,1987,52,16.39,137.8,3-High,9th Grade,12th Grade
HIGH SCHOOL GOVERN & PUBLIC ADMIN,PASSAIC,1-Regular school,3412690,583,185,143,109,109,313,270,1,0,188,388,6,419,10.8,54,3-High,9th Grade,12th Grade
HIGH SCHOOL HOSPITALITY TOUR & CULINARY ARTS,PASSAIC,1-Regular school,3412690,603,171,174,92,129,300,303,2,1,218,378,4,410,11.82,51,3-High,9th Grade,12th Grade
HUDSON COUNTY  YOUTH HOUSE,HUDSON,4-Alternative/other school,3400089,31,10,11,3,6,31,0,0,0,20,11,0,0,6.2,5,3-High,7th Grade,12th Grade
HUNTERDON CENTRAL HIGH SCHOOL,HUNTERDON,1-Regular school,3407590,2891,742,760,722,667,1504,1387,3,145,82,143,2514,112,13.45,214.9,3-High,9th Grade,12th Grade
INDEPENDENCE HIGH SCHOOL,ESSEX,4-Alternative/other school,3400085,29,8,8,10,3,15,14,0,0,24,5,0,0,4.83,6,3-High,9th Grade,12th Grade
INDIAN HILLS HIGH SCHOOL,BERGEN,1-Regular school,3413560,1181,304,309,278,290,548,633,1,37,17,34,1089,18,13.37,88.3,3-High,9th Grade,12th Grade
INST OF TECH  MEDFORD CAMP,BURLINGTON,3-Vocational school,3402490,805,211,222,184,188,446,359,4,7,191,75,508,199,14,57.5,4-Other,4th Grade,12th Grade
INST OF TECH  WESTAMPTON,BURLINGTON,3-Vocational school,3402490,1182,325,331,278,248,539,643,7,18,676,114,327,355,15.76,75,4-Other,1st Grade,12th Grade
INTEGRITY INC,MERCER,4-Alternative/other school,3400089,11,1,2,6,2,11,0,0,0,9,1,1,0,5.5,2,3-High,9th Grade,12th Grade
INTERNATIONAL HIGH SCHOOL,PASSAIC,1-Regular school,3412690,354,88,110,90,66,135,219,0,4,101,235,14,239,9.57,37,3-High,9th Grade,12th Grade
IRVINGTON HIGH SCHOOL,ESSEX,1-Regular school,3407680,1465,435,340,307,276,812,653,0,1,1371,91,2,670,12.96,113,3-High,9th Grade,12th Grade
ISLES COMMUNITY CAR,MERCER,4-Alternative/other school,3400089,19,1,6,8,4,19,0,0,0,19,0,0,0,19,1,3-High,9th Grade,12th Grade
J P STEVENS HIGH SCHOOL,MIDDLESEX,1-Regular school,3404500,2244,541,582,533,588,1117,1127,1,1437,187,92,524,187,15.54,144.4,3-High,9th Grade,12th Grade
JACKSON CENTER,OCEAN,3-Vocational school,3411980,106,0,10,44,52,101,5,0,0,2,7,96,15,8.83,12,3-High,10th Grade,12th Grade
JACKSON LIBERTY HIGH SCHOOL,OCEAN,1-Regular school,3407740,1390,337,340,349,358,721,669,0,48,108,133,1098,178,15.44,90,3-High,9th Grade,12th Grade
JACKSON MEMORIAL HIGH SCHOOL,OCEAN,1-Regular school,3407740,1758,435,413,449,405,910,848,1,43,132,73,1502,139,15.7,112,3-High,9th Grade,12th Grade
JAMES CALDWELL HIGH SCHOOL,ESSEX,1-Regular school,3402580,811,201,191,207,212,395,416,0,46,19,61,685,6,14.8,54.8,3-High,9th Grade,12th Grade
JAMES J FERRIS,HUDSON,1-Regular school,3407830,1622,549,422,312,339,854,768,0,241,444,844,93,873,16.06,101,3-High,9th Grade,12th Grade
JEFFERSON TWP H,MORRIS,1-Regular school,3407800,1108,266,265,241,245,565,543,0,47,21,88,950,0,14.58,76,3-High,9th Grade,12th Grade
JOHN E DWYER TECH ACADEMY,UNION,1-Regular school,3404590,936,311,281,171,126,627,309,0,23,221,647,45,768,10.4,90,3-High,9th Grade,12th Grade
JOHN F  KENNEDY HIGH SCHOOL,PASSAIC,1-Regular school,3412690,2058,660,563,345,399,1053,1005,2,89,606,1206,138,1456,10.24,201,3-High,9th Grade,12th Grade
JOHN F KENNEDY MEM H,MIDDLESEX,1-Regular school,3418120,1355,359,341,315,318,686,669,2,431,153,257,510,325,14.45,93.8,3-High,9th Grade,12th Grade
JONATHAN DAYTON HIGH SCHOOL,UNION,1-Regular school,3415630,561,150,119,136,141,298,263,0,40,58,48,413,30,12.93,43.4,3-High,9th Grade,12th Grade
JRSR HIGH SCHOOL,BURLINGTON,2-Special education school,3402440,105,8,7,3,7,79,26,0,1,58,11,35,34,5.53,19,4-Other,1st Grade,12th Grade
JUVENILE FEMALE SECURE UNIT,BURLINGTON,4-Alternative/other school,3400089,22,9,6,2,4,0,22,0,0,16,5,1,0,2.75,8,3-High,7th Grade,12th Grade
JUVENILE MEDIUM SECURE FACILITY,BURLINGTON,4-Alternative/other school,3400089,117,16,42,40,14,117,0,0,0,95,14,8,0,3,39,3-High,7th Grade,12th Grade
KEANSBURG HIGH SCHOOL,MONMOUTH,1-Regular school,3407860,391,113,95,82,95,211,180,0,6,42,59,284,177,11.33,34.5,3-High,9th Grade,12th Grade
KEARNY HIGH SCHOOL,HUDSON,1-Regular school,3407890,1692,413,435,413,431,888,804,0,32,36,934,673,341,12.1,139.8,3-High,9th Grade,12th Grade
KEYPORT HIGH SCHOOL,MONMOUTH,1-Regular school,3407950,532,118,115,109,114,274,258,0,8,56,73,395,144,15.65,34,3-High,8th Grade,12th Grade
KINGSWAY REGIONAL HIGH SCHOOL,GLOUCESTER,1-Regular school,3407980,1491,447,306,350,369,779,712,1,61,207,51,1168,102,17.75,84,3-High,9th Grade,12th Grade
KINNELON HIGH SCHOOL,MORRIS,1-Regular school,3408040,530,6,168,170,186,243,287,0,4,5,11,491,4,10.19,52,3-High,9th Grade,12th Grade
KITTATINNY REGIONAL HIGH SCHOOL,SUSSEX,1-Regular school,3408060,1145,212,176,188,187,585,560,0,10,7,31,1094,31,13.52,84.7,3-High,7th Grade,12th Grade
LACEY TWP HIGH SCHOOL,OCEAN,1-Regular school,3408100,1399,356,354,327,318,713,686,0,17,17,40,1322,175,12.27,114,3-High,9th Grade,12th Grade
LAKELAND REGIONAL H,PASSAIC,1-Regular school,3408190,1183,282,280,221,289,621,562,12,48,19,80,1021,113,15.38,76.9,3-High,9th Grade,12th Grade
LAKEWOOD HIGH SCHOOL,OCEAN,1-Regular school,3408220,1120,286,283,274,229,565,555,1,5,351,632,131,858,14.66,76.4,3-High,9th Grade,12th Grade
LAW & PUBLIC SAFETY,MORRIS,3-Vocational school,3410720,62,23,14,12,13,31,31,0,4,0,5,53,0,62,1,3-High,9th Grade,12th Grade
LAWRENCE HIGH SCHOOL,MERCER,1-Regular school,3408400,1113,309,299,261,244,589,524,1,143,220,161,555,122,14.25,78.1,3-High,9th Grade,12th Grade
LEAP ACADEMY UNIVERSITY CS,CAMDEN,1-Regular school,3400078,835,116,60,64,59,376,459,0,9,383,434,1,633,14.65,57,4-Other,Kindergarten,12th Grade
LENAPE HIGH SCHOOL,BURLINGTON,1-Regular school,3408490,2016,502,485,473,482,1010,1006,1,144,342,84,1443,153,15.28,131.9,3-High,9th Grade,12th Grade
LENAPE VAL REGIONAL HIGH SCHOOL,SUSSEX,1-Regular school,3408500,825,183,201,208,214,438,387,0,25,16,55,729,58,13.44,61.4,3-High,9th Grade,12th Grade
LEONIA HIGH SCHOOL,BERGEN,1-Regular school,3408520,657,160,151,161,152,335,322,3,233,31,160,229,63,12.3,53.4,3-High,9th Grade,12th Grade
LIBERTY HIGH SCHOOL,HUDSON,1-Regular school,3407830,191,47,60,48,36,79,112,2,9,84,76,19,104,10.05,19,3-High,9th Grade,12th Grade
LINCOLN,HUDSON,1-Regular school,3407830,970,410,233,130,197,453,517,1,20,739,186,23,591,12.44,78,3-High,9th Grade,12th Grade
LINDEN HIGH SCHOOL,UNION,1-Regular school,3408610,1798,426,442,449,443,917,881,2,38,657,632,441,642,15.79,113.9,3-High,9th Grade,12th Grade
LINDENWOLD HIGH SCHOOL,CAMDEN,1-Regular school,3408640,536,167,135,119,115,274,262,0,8,294,117,112,272,11.48,46.7,3-High,9th Grade,12th Grade
LIVINGSTON SR  HIGH SCHOOL,ESSEX,1-Regular school,3408820,1742,463,430,398,451,906,836,2,410,55,72,1188,9,13.69,127.2,3-High,9th Grade,12th Grade
LODI ANNEX,BERGEN,2-Special education school,3400007,103,1,0,1,1,72,31,0,6,7,31,59,25,5.72,18,4-Other,1st Grade,12th Grade
LODI HIGH SCHOOL,BERGEN,1-Regular school,3408850,919,253,231,231,204,462,457,1,66,87,416,320,361,14.75,62.3,3-High,9th Grade,12th Grade
LONG BRANCH HIGH SCHOOL,MONMOUTH,1-Regular school,3408940,1101,251,287,266,247,578,523,1,15,339,418,328,692,11.12,99,3-High,9th Grade,12th Grade
LOWER CAPE MAY REGIONAL HIGH SCHOOL,CAPE MAY,1-Regular school,3409090,1063,245,288,236,258,576,487,1,5,53,68,933,266,16.46,64.6,3-High,9th Grade,12th Grade
LUMBERTON CAMPUS,BURLINGTON,2-Special education school,3402440,61,6,9,9,9,50,11,0,2,30,5,24,11,1.97,31,4-Other,Kindergarten,12th Grade
LYNDHURST HIGH SCHOOL,BERGEN,1-Regular school,3409210,693,181,148,197,167,369,324,2,31,15,183,458,88,14.44,48,3-High,9th Grade,12th Grade
M A T E S,OCEAN,3-Vocational school,3411980,226,63,65,54,44,127,99,0,16,1,9,197,6,10.76,21,3-High,9th Grade,12th Grade
MADISON HIGH SCHOOL,MORRIS,1-Regular school,3409240,795,209,175,205,206,395,400,1,49,26,73,640,44,13.95,57,3-High,9th Grade,12th Grade
MAHWAH HIGH SCHOOL,BERGEN,1-Regular school,3409330,1063,303,245,254,249,562,501,22,105,20,52,859,54,13.2,80.5,3-High,9th Grade,12th Grade
MAINLAND REGIONAL H S,ATLANTIC,1-Regular school,3409360,1550,402,369,368,368,800,750,0,86,116,122,1213,206,15.72,98.6,3-High,9th Grade,12th Grade
MALCOLM X SHABAZZ HIGH SCHOOL,ESSEX,1-Regular school,3411340,898,166,176,180,187,481,417,0,0,824,74,0,641,14.97,60,3-High,9th Grade,12th Grade
MANALAPAN HIGH SCHOOL,MONMOUTH,1-Regular school,3405610,1947,479,487,479,502,1013,934,5,116,47,96,1678,49,17.48,111.4,3-High,9th Grade,12th Grade
MANASQUAN HIGH SCHOOL,MONMOUTH,1-Regular school,3409420,986,266,225,251,223,493,493,0,6,19,76,884,81,16.16,61,3-High,9th Grade,12th Grade
MANCHESTER HIGH SCHOOL,OCEAN,1-Regular school,3409450,1168,293,264,297,286,605,563,2,32,201,137,785,213,14.64,79.8,3-High,9th Grade,12th Grade
MANCHESTER REGIONAL H,PASSAIC,1-Regular school,3412600,786,269,228,123,166,399,387,2,12,132,398,214,370,15.12,52,3-High,9th Grade,12th Grade
MANVILLE HIGH SCHOOL,SOMERSET,1-Regular school,3409630,403,96,94,106,96,199,204,0,11,18,115,259,77,14.82,27.2,3-High,9th Grade,12th Grade
MAPLE SHADE HIGH SCHOOL,BURLINGTON,1-Regular school,3409660,908,153,115,145,125,457,451,0,30,83,90,701,202,15.79,57.5,3-High,7th Grade,12th Grade
MARINE ACADEMY SCI & TECH,MONMOUTH,3-Vocational school,3417500,291,77,71,73,70,144,147,0,15,4,8,264,4,11.19,26,3-High,9th Grade,12th Grade
MARLBORO HIGH SCHOOL,MONMOUTH,1-Regular school,3405610,2052,510,490,497,545,1057,995,4,358,53,84,1541,28,18,114,3-High,9th Grade,12th Grade
MATAWAN REGIONAL HIGH SCHOOL,MONMOUTH,1-Regular school,3409750,1117,300,256,282,222,561,556,0,73,201,101,742,173,12.55,89,3-High,9th Grade,12th Grade
MATH SCIENCE&ENGINEERING,MORRIS,3-Vocational school,3410720,88,23,21,22,22,52,36,0,42,0,3,43,0,0,0,3-High,9th Grade,12th Grade
MCVS ASSUNPINK CENT,MERCER,3-Vocational school,3409950,164,30,21,49,56,95,69,0,7,63,32,59,38,12.91,12.7,3-High,9th Grade,12th Grade
MCVS PERFORMING ARTS,MERCER,3-Vocational school,3409950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3-High,9th Grade,12th Grade
MCVS SYPEK CENTER,MERCER,3-Vocational school,3409950,134,0,11,49,69,90,44,0,3,45,34,50,34,8.38,16,3-High,10th Grade,12th Grade
MDSX COUNTY VOCATIONAL ACD SCI  ENG,MIDDLESEX,3-Vocational school,3410080,154,42,38,36,38,90,64,0,76,3,7,66,0,11.85,13,3-High,9th Grade,12th Grade
MDSX COUNTY VOCATIONAL E BRUNSWICK,MIDDLESEX,3-Vocational school,3410080,626,168,159,109,82,369,257,3,2,81,135,398,134,10.26,61,3-High,9th Grade,12th Grade
MDSX COUNTY VOCATIONAL PERTH AMBOY,MIDDLESEX,3-Vocational school,3410080,299,81,77,73,68,174,125,0,4,30,216,49,140,14.24,21,3-High,9th Grade,12th Grade
MDSX COUNTY VOCATIONAL PISCATAWAY,MIDDLESEX,3-Vocational school,3410080,525,146,83,131,98,274,251,0,12,99,307,107,232,10.29,51,3-High,9th Grade,12th Grade
MDSX COUNTY VOCATIONAL WOODBRIDGE (HEALTH BIOMED),MIDDLESEX,3-Vocational school,3410080,165,48,49,34,34,54,111,0,93,9,31,32,21,8.68,19,3-High,8th Grade,12th Grade
MEMORIAL HIGH SCHOOL,HUDSON,1-Regular school,3417580,1711,492,427,430,344,852,859,0,14,14,1622,58,1043,12.67,135,3-High,9th Grade,12th Grade
MEMORIAL SR  HIGH SCHOOL,BERGEN,1-Regular school,3404660,744,185,168,194,197,377,367,0,81,72,236,353,158,18.6,40,3-High,9th Grade,12th Grade
MERCER COUNTY   YOUTH DET   CENTER,MERCER,4-Alternative/other school,3400089,29,14,6,4,1,26,3,0,0,24,5,0,0,14.5,2,3-High,7th Grade,12th Grade
MERCER ELEMENTARY SCHOOL,MERCER,2-Special education school,3480200,255,4,2,0,0,200,55,0,12,114,37,89,97,7.73,33,4-Other,2nd Grade,12th Grade
MERCER JR  SR HIGH SCHOOL,MERCER,2-Special education school,3480200,225,3,2,10,6,143,82,0,9,105,33,77,85,5.7,39.5,3-High,8th Grade,12th Grade
MET EAST HIGH SCHOOL,CAMDEN,1-Regular school,3402640,93,19,27,30,17,37,56,0,0,75,16,2,51,6.64,14,3-High,9th Grade,12th Grade
METUCHEN HIGH SCHOOL,MIDDLESEX,1-Regular school,3409990,602,145,145,128,124,282,320,0,64,38,33,467,37,14.51,41.5,3-High,9th Grade,12th Grade
MIDDLE TWP HIGH SCHOOL,CAPE MAY,1-Regular school,3410020,894,218,216,231,229,463,431,1,21,132,43,695,186,11.87,75.3,3-High,9th Grade,12th Grade
MIDDLESEX COUNTY  YOUTH CENTER,MIDDLESEX,4-Alternative/other school,3400089,67,12,15,14,19,60,7,0,1,29,21,16,0,13.4,5,3-High,8th Grade,12th Grade
MIDDLESEX COUNTY ACADEMY,MIDDLESEX,1-Regular school,3480180,19,4,7,5,1,14,5,0,3,7,6,3,9,5.94,3.2,4-Other,1st Grade,12th Grade
MIDDLESEX HIGH SCHOOL,MIDDLESEX,1-Regular school,3410050,662,143,173,157,189,344,318,0,43,42,155,421,91,12.95,51.1,3-High,9th Grade,12th Grade
MIDDLESEX REGIONAL SCHOOL,MIDDLESEX,4-Alternative/other school,3400085,31,8,5,3,2,6,25,0,0,17,4,10,0,4.43,7,4-Other,3rd Grade,12th Grade
MIDDLETOWN H S NORTH,MONMOUTH,1-Regular school,3410110,1605,378,423,408,386,839,766,2,31,36,101,1426,134,15.67,102.4,4-Other,5th Grade,12th Grade
MIDDLETOWN H S SOUTH,MONMOUTH,1-Regular school,3410110,1443,319,363,384,363,705,738,2,41,21,46,1331,60,16.98,85,4-Other,5th Grade,12th Grade
MIDLAND PARK HIGH SCHOOL,BERGEN,1-Regular school,3410140,414,65,75,70,57,0,0,0,0,0,0,0,1,12.62,32.8,3-High,7th Grade,12th Grade
MILLBURN SR HIGH SCHOOL,ESSEX,1-Regular school,3410200,1492,412,353,336,391,773,719,0,255,23,37,1171,10,13.97,106.8,3-High,9th Grade,12th Grade
MILLVILLE SENIOR HIGH SCHOOL,CUMBERLAND,1-Regular school,3410320,1114,0,251,450,413,550,564,6,6,300,150,651,439,12.08,92.2,3-High,10th Grade,12th Grade
MONMOUTH CTY VOCATIONAL TECH H S,MONMOUTH,3-Vocational school,3417500,44,0,3,19,22,26,18,0,0,5,3,36,10,1.26,35,3-High,10th Grade,12th Grade
MONMOUTH DAY,MONMOUTH,4-Alternative/other school,3400089,7,1,5,0,1,7,0,0,0,6,1,0,0,1.75,4,3-High,9th Grade,12th Grade
MONMOUTH REGIONAL HIGH SCHOOL,MONMOUTH,1-Regular school,3410440,1058,253,274,271,253,533,525,1,73,207,123,641,162,11.49,92.1,3-High,9th Grade,12th Grade
MONMOUTH TRANSITIONAL EDUCATION CENTER,MONMOUTH,4-Alternative/other school,3400085,12,1,6,1,4,0,12,0,0,7,2,3,0,0,0,3-High,9th Grade,12th Grade
MONROE TWP HIGH SCHOOL,MIDDLESEX,1-Regular school,3410500,1655,448,434,400,373,822,833,0,269,107,126,1151,77,11.87,139.4,3-High,9th Grade,12th Grade
MONTCLAIR HIGH SCHOOL,ESSEX,1-Regular school,3410560,1948,498,492,473,447,988,960,1,9,773,123,969,233,16.9,115.3,3-High,9th Grade,12th Grade
MONTGOMERY HIGH SCHOOL,SOMERSET,1-Regular school,3410590,1688,418,419,415,418,885,803,1,467,49,50,1121,26,16.14,104.6,3-High,9th Grade,12th Grade
MONTVILLE HIGH SCHOOL,MORRIS,1-Regular school,3410650,1365,357,328,349,331,704,661,3,282,24,55,997,6,14.07,97,3-High,9th Grade,12th Grade
MOORESTOWN HIGH SCHOOL,BURLINGTON,1-Regular school,3410710,1404,352,364,328,349,696,708,5,103,125,51,1112,87,14.08,99.7,3-High,9th Grade,12th Grade
MORRIS COUNTY  YOUTH CENTER,MORRIS,4-Alternative/other school,3400089,10,0,1,2,6,9,1,0,0,5,0,5,0,5,2,3-High,8th Grade,12th Grade
MORRIS COUNTY SCHOOL OF TECH,MORRIS,3-Vocational school,3410720,650,156,145,207,142,282,368,1,88,21,59,480,34,11.5,56.5,3-High,9th Grade,12th Grade
MORRIS HILLS HIGH SCHOOL,MORRIS,1-Regular school,3410740,1125,294,284,284,263,575,550,0,73,40,318,688,186,13.17,85.4,3-High,9th Grade,12th Grade
MORRIS KNOLLS HIGH SCHOOL,MORRIS,1-Regular school,3410740,1744,406,419,407,397,900,844,4,113,56,162,1391,78,14.66,119,3-High,9th Grade,12th Grade
MORRIS TRANSITIONAL EDUCATION CENTER,MORRIS,4-Alternative/other school,3400085,13,1,5,4,3,13,0,0,0,0,4,9,0,0,0,3-High,9th Grade,12th Grade
MORRISTOWN HIGH SCHOOL,MORRIS,1-Regular school,3410810,1482,376,393,358,355,781,701,0,70,210,310,891,249,14.75,100.5,3-High,9th Grade,12th Grade
MOUNTAIN LAKES HIGH SCHOOL,MORRIS,1-Regular school,3411010,689,161,175,185,159,353,336,0,46,13,18,606,4,12.09,57,3-High,9th Grade,12th Grade
MT  OLIVE HIGH SCHOOL,MORRIS,1-Regular school,3410980,1157,38,371,366,355,601,556,0,80,72,124,878,92,12,96.4,3-High,9th Grade,12th Grade
N A BLESHMAN REGIONAL DAY PARA,BERGEN,2-Special education school,3401450,76,0,1,1,2,37,39,0,4,11,23,38,10,4,19,4-Other,Prekindergarten,12th Grade
N BURL COUNTY REGIONAL HIGH SCHOOL,BURLINGTON,1-Regular school,3411700,1186,319,301,267,270,595,591,3,58,149,78,891,55,15.13,78.4,3-High,9th Grade,12th Grade
N J REGIONAL DAY  HAMILTON,MERCER,2-Special education school,3480200,42,1,0,0,1,33,9,0,0,14,6,21,11,5.68,7.4,4-Other,2nd Grade,12th Grade
N J REGIONAL DAY  PISCATAWAY,MIDDLESEX,2-Special education school,3480180,107,3,1,2,15,69,38,0,15,28,30,34,48,6.29,17,4-Other,5th Grade,12th Grade
N J REGIONAL DAY MILLBURN,ESSEX,2-Special education school,3401450,43,2,1,0,10,22,21,0,3,16,9,14,8,3.91,11,4-Other,3rd Grade,12th Grade
N VALLEY REGIONAL H DEMAREST,BERGEN,1-Regular school,3411760,1285,289,294,281,320,707,578,0,343,10,67,844,4,15.59,82.4,3-High,9th Grade,12th Grade
N VALLEY REGIONAL H OLD TAPPAN,BERGEN,1-Regular school,3411760,1402,370,323,350,341,741,661,0,396,7,71,911,7,15.44,90.8,3-High,9th Grade,12th Grade
N WARREN REGIONAL HIGH SCHOOL,WARREN,1-Regular school,3409550,1057,175,168,154,206,571,486,6,11,8,26,1005,56,15.08,70.1,3-High,7th Grade,12th Grade
NEPTUNE HIGH SCHOOL,MONMOUTH,1-Regular school,3411160,1299,298,336,303,330,674,625,0,16,806,138,321,514,14.6,89,3-High,9th Grade,12th Grade
NEW BRUNSWICK HIGH SCHOOL,MIDDLESEX,1-Regular school,3411220,1509,533,369,264,270,750,759,0,15,297,1183,14,972,17.49,86.3,3-High,9th Grade,12th Grade
NEW EGYPT HIGH SCHOOL,OCEAN,1-Regular school,3413230,588,148,145,127,158,307,281,1,3,21,18,544,60,15.76,37.3,3-High,9th Grade,12th Grade
NEW JERSEY TRAINING SCHOOL,MIDDLESEX,4-Alternative/other school,3400089,186,47,61,42,31,186,0,0,0,126,42,18,0,3.8,49,3-High,7th Grade,12th Grade
NEW LISBON DEVEL CENTER,BURLINGTON,4-Alternative/other school,3400085,2,0,0,1,1,2,0,0,0,2,0,0,0,1,2,3-High,11th Grade,12th Grade
NEW MILFORD HIGH SCHOOL,BERGEN,1-Regular school,3411280,657,168,171,168,150,327,330,0,110,22,109,372,34,16.14,40.7,3-High,9th Grade,12th Grade
