school_name,school_county,school_type,state_district_id,total_students,9_grade_students,10_grade_students,11_grade_students,12_grade_students,total_male,total_female,total_american_indian_alaskan,total_asians,total_black,total_hispanic,total_white,free_lunch_eligible,student_teacher_ratio,fte_teachers,school_level,low_grade,high_grade
SOUTH PLAINFIELD HIGH SCHOOL,MIDDLESEX,1-Regular school,3415360,1192,279,308,294,303,600,592,1,98,144,232,691,165,14.72,81,3-High,9th Grade,12th Grade
SOUTH RIVER HIGH SCHOOL,MIDDLESEX,1-Regular school,3415390,672,184,158,158,172,348,324,0,19,56,153,430,160,14.42,46.6,3-High,9th Grade,12th Grade
SOUTHERN REGIONAL HIGH SCHOOL,OCEAN,1-Regular school,3415480,2023,514,509,463,477,1046,977,5,37,42,107,1831,229,14.99,135,3-High,9th Grade,12th Grade
SOUTHWOODS STATE PRISON,CUMBERLAND,4-Alternative/other school,3400088,12,0,0,4,8,12,0,0,0,6,4,2,0,0.75,16,3-High,11th Grade,12th Grade
SPARTA HIGH SCHOOL,SUSSEX,1-Regular school,3415510,1240,343,281,298,318,616,624,1,58,18,57,1106,17,13.76,90.1,3-High,9th Grade,12th Grade
SPECIAL CHILDRENS SCHOOL,SUSSEX,2-Special education school,3480320,11,0,0,0,4,3,8,0,0,0,1,10,0,1.75,6.3,4-Other,Prekindergarten,12th Grade
SPOTSWOOD HIGH SCHOOL,MIDDLESEX,1-Regular school,3415540,766,193,207,168,198,380,386,4,25,31,70,635,72,13.68,56,3-High,9th Grade,12th Grade
STERLING HIGH SCHOOL,CAMDEN,1-Regular school,3402880,980,197,231,245,243,525,455,3,47,172,50,704,162,15.34,63.9,3-High,9th Grade,12th Grade
SUMMIT SR HIGH SCHOOL,UNION,1-Regular school,3415900,1024,276,282,254,212,536,488,0,52,60,153,750,85,13.03,78.6,3-High,9th Grade,12th Grade
SUSSEX CTY TECH HIGH SCHOOL,SUSSEX,3-Vocational school,3415930,567,164,138,135,130,294,273,2,9,28,26,501,52,10.76,52.7,3-High,9th Grade,12th Grade
