ID,qc1,qc2,qc3,qc4,qc5,qc6,qc7,qc8,qc9,qc10,qc11,qc12,qc13,qc14,qc15,qc16,qc17,qc18,qc19,qc20,qc21,qc22,qc23,qc24,qc25,qc26,qc27,qc28,qc29,qc30,qc31,qc32,qc33,qc34,qc35,qc36,qc37,qc38,qc39,qc40,qc41,qc42,qc43,qc44,qc45,qc46,qc47,qc48,qc49,qc50,qcTIME,cclassOverF,cclassOverU,cclassAllF,cclassAllU,cclassPIF,cclassPIU,cclassRWF,cclassRWU,cclassGenF,cclassGenU,cclassConF,cclassConU,cclassSophF,cclassSophU,cclassSEF,cclassSEU,cclassCCF,cclassCCU,cclassCLF,cclassCLU,cclassPerF,cclassPerU
150004791,3,3,3,3,3,3,3,3,3,3,3,3,3,5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12/6/13 17:21,2.222222222,2.222222222,2.777777778,0,0,0,0,0,10,0,0,0,0,0,0,0,14.28571429,0,0,0,0,0
151006007,3,3,4,3,5,3,4,3,4,4,3,4,3,5,4,4,3,4,3,3,3,4,0,4,3,4,3,1,3,4,4,3,4,3,3,4,3,4,4,4,3,4,4,3,4,3,4,3,4,3,12/6/13 17:22,27.27272727,22.72727273,25,22.22222222,33.33333333,16.66666667,50,0,40,30,50,25,14.28571429,42.85714286,22.22222222,22.22222222,0,57.14285714,0,57.14285714,16.66666667,0
150002544,1,4,4,3,4,2,1,2,4,4,3,2,4,1,3,4,4,2,4,3,2,4,3,2,3,2,4,5,3,4,4,3,5,3,2,4,2,3,4,5,2,3,4,5,4,5,1,1,4,1,12/6/13 17:28,71.11111111,4.444444444,75,2.777777778,66.66666667,0,75,0,80,10,75,25,85.71428571,0,77.77777778,0,71.42857143,0,85.71428571,0,66.66666667,0
152000591,3,3,4,3,4,3,4,2,4,4,3,2,4,3,1,3,4,4,2,3,3,2,2,1,4,1,4,3,3,4,4,5,4,3,2,5,3,2,2,4,3,3,3,3,2,3,2,2,4,4,12/6/13 17:50,42.22222222,17.77777778,44.44444444,11.11111111,33.33333333,0,25,0,60,20,75,25,42.85714286,28.57142857,66.66666667,0,42.85714286,28.57142857,42.85714286,28.57142857,33.33333333,0
150002478,1,5,5,5,5,1,1,4,3,1,1,1,5,1,1,1,5,5,5,1,1,1,1,2,3,4,5,4,3,2,1,2,3,4,5,4,3,2,1,1,2,3,4,5,4,3,0,2,1,2,12/6/13 17:52,65.90909091,18.18181818,65.71428571,17.14285714,83.33333333,16.66666667,100,0,66.66666667,33.33333333,66.66666667,33.33333333,66.66666667,16.66666667,55.55555556,22.22222222,85.71428571,0,83.33333333,0,50,16.66666667
150005813,2,5,4,4,3,2,2,3,4,4,5,2,5,1,2,4,4,4,3,1,2,3,3,2,2,2,5,3,5,5,4,2,3,4,2,5,5,1,5,4,1,1,0,4,3,4,1,1,5,1,12/6/13 18:21,79.54545455,6.818181818,85.71428571,5.714285714,83.33333333,0,100,0,80,0,75,0,85.71428571,0,88.88888889,11.11111111,85.71428571,14.28571429,100,0,83.33333333,0
150004965,5,4,5,3,4,5,4,2,4,5,4,2,3,3,4,3,4,4,4,4,3,3,1,2,1,1,5,3,3,5,0,0,0,4,3,4,3,3,4,4,1,3,2,4,5,5,1,1,5,1,12/6/13 18:22,55.81395349,16.27906977,60,14.28571429,33.33333333,0,75,25,70,10,100,0,71.42857143,14.28571429,55.55555556,0,28.57142857,42.85714286,57.14285714,42.85714286,80,0
151008481,5,2,2,2,4,2,2,3,3,3,3,3,4,5,2,2,4,2,4,2,4,2,4,3,4,4,3,3,3,4,4,2,4,3,2,4,2,3,2,3,2,2,2,3,3,3,2,3,3,3,12/6/13 18:33,33.33333333,31.11111111,33.33333333,27.77777778,33.33333333,33.33333333,50,25,40,20,50,25,28.57142857,14.28571429,11.11111111,33.33333333,57.14285714,0,42.85714286,28.57142857,33.33333333,16.66666667
151005289,2,5,5,5,5,2,2,2,3,4,5,2,5,3,2,3,5,5,5,2,1,4,2,2,3,2,5,4,5,5,4,1,5,4,1,4,1,1,3,5,1,3,3,5,5,5,2,1,4,1,12/6/13 18:33,86.66666667,0,88.88888889,0,83.33333333,0,75,0,100,0,100,0,85.71428571,0,88.88888889,0,100,0,85.71428571,0,100,0
152007678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/6/13 18:52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152007678,3,2,2,1,2,5,4,4,3,1,3,5,3,5,3,2,3,3,2,5,2,3,2,2,5,3,4,2,3,4,4,3,4,3,4,2,3,2,3,2,2,3,2,3,3,3,3,2,3,3,12/6/13 18:59,20,35.55555556,22.22222222,33.33333333,0,66.66666667,25,50,20,30,0,50,14.28571429,57.14285714,44.44444444,0,28.57142857,28.57142857,14.28571429,57.14285714,16.66666667,16.66666667
