ID,qcc1,qcc2,qcc3,qcc4,qcc5,qcc6,qcc7,qcc8,qcc9,qcc10,qcc11,qcc12,qcc13,qcc14,qcc15,qcc16,qcc17,qcc18,qcc19,qcc20,qcc21,qcc22,qcc23,qcc24,qcc25,qcc26,qcc27,qcc28,qcc29,qcc30,qcc31,qcc32,qcc33,qcc34,qcc35,qcc36,qcc37,qcc38,qcc39,qcc40,qcc41,qcc42,qcc43,qcc44,qcc45,qcc46,qcc47,qcc48,qcc49,qcc50,qccTIME
151007479,2,5,5,5,5,3,3,3,4,5,5,3,5,3,3,4,4,5,5,3,3,3,2,3,3,1,5,5,5,5,4,5,5,5,3,5,5,3,3,4,3,5,0,5,3,5,3,3,3,1,5/3/2014 3:07:45 PM
152002550,4,5,0,4,5,2,2,3,3,4,5,3,5,3,3,4,4,4,5,3,2,4,2,2,3,2,5,3,4,5,4,3,5,4,2,4,2,1,1,4,2,3,3,5,5,5,1,1,2,1,5/3/2014 3:14:36 PM
152009545,2,1,2,4,4,3,1,2,5,5,1,2,4,3,4,4,4,4,5,4,2,4,3,3,4,5,2,3,1,5,4,3,0,5,1,4,2,5,2,3,1,1,1,3,5,3,3,4,4,1,5/3/2014 3:18:52 PM
144003040,5,3,5,2,4,4,4,3,5,3,4,5,4,5,1,3,2,3,2,3,4,3,2,5,4,2,4,1,3,3,4,2,3,2,4,3,3,4,3,2,3,3,1,2,3,3,4,3,2,4,5/3/2014 3:29:05 PM
150008684,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,4,4,4,5,5,5,5,5,1,3,5,4,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5/3/2014 3:30:30 PM
151003354,1,2,3,3,4,3,1,3,4,4,2,3,3,3,2,4,3,3,5,2,2,1,3,3,1,2,5,1,1,5,4,3,3,4,4,5,3,2,3,2,1,1,1,5,5,3,4,1,2,2,5/3/2014 3:31:00 PM
151005708,3,1,2,1,4,2,5,4,5,1,1,1,4,5,4,1,1,5,3,5,5,5,3,1,1,5,1,1,1,2,4,1,2,1,2,3,1,3,2,4,5,1,1,1,5,3,2,1,2,3,5/3/2014 3:37:55 PM
152004542,4,3,2,3,4,4,3,2,3,4,3,3,4,4,3,3,4,2,3,3,3,4,2,3,4,3,3,3,2,4,4,3,4,3,2,3,2,3,4,3,3,2,4,4,3,3,3,2,4,2,5/3/2014 3:42:35 PM
150008707,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5/3/2014 3:42:38 PM
152005844,5,5,4,5,4,5,2,2,4,4,4,3,4,4,1,4,2,4,3,3,3,4,3,3,3,2,4,1,4,5,4,1,4,4,3,4,5,1,2,2,1,3,0,5,4,4,3,2,4,4,5/3/2014 4:00:08 PM
