ID,qp1,qp2,qp3,qp4,qp5,qp6,qp7,qp8,qp9,qp10,qp11,qp12,qp13,qp14,qp15,qp16,qp17,qp18,qp19,qp20,qp21,qp22,qp23,qp24,qp25,qp26,qp27,qp28,qp29,qp30,qp31,qp32,qp33,qp34,qp35,qp36,qp37,qp38,qp39,qp40,qp41,qp42,qpTIME
151007134,4,5,2,5,2,2,3,4,2,2,4,4,4,4,3,5,4,3,5,1,1,0,2,3,3,4,3,4,1,4,4,2,4,4,1,4,2,4,4,1,5,5,12/4/13 9:36
153000681,2,5,5,5,1,1,4,2,3,1,5,5,1,5,4,5,2,1,3,1,1,3,1,5,5,5,4,5,1,5,4,1,2,5,1,4,5,5,5,1,2,5,12/4/13 10:32
145002276,2,5,5,5,4,1,3,4,4,2,4,2,4,4,4,4,2,3,4,2,2,4,2,4,4,4,4,4,2,4,4,2,5,4,1,4,4,4,4,2,3,4,12/4/13 10:55
151001171,4,5,5,3,0,1,4,5,3,4,5,2,1,5,3,5,2,2,3,2,5,2,5,5,4,3,5,5,2,5,4,2,5,4,1,2,5,4,5,3,2,4,12/4/13 11:41
152009249,4,4,3,4,4,2,4,5,2,3,3,4,1,4,2,4,4,2,4,4,4,4,2,5,3,5,4,4,4,3,4,2,2,2,2,2,2,5,4,4,4,2,12/4/13 11:56
152004751,1,3,5,5,2,1,3,5,3,1,5,4,1,2,5,4,5,1,0,1,1,4,1,5,5,5,1,5,1,5,4,1,5,5,1,5,3,3,5,1,3,5,12/4/13 13:25
152009296,4,3,3,0,3,2,2,3,0,2,4,4,2,2,4,4,2,4,4,4,4,4,2,5,4,4,4,3,1,3,4,1,2,3,2,4,3,4,4,3,2,4,12/4/13 14:05
151008280,4,4,3,4,3,3,4,4,3,2,4,4,4,3,4,4,4,2,5,2,2,4,3,3,2,4,3,5,2,3,4,2,4,3,3,2,3,2,4,3,2,4,12/4/13 14:08
144009656,3,4,3,5,4,2,1,3,4,2,4,5,2,2,4,5,3,1,4,2,3,3,2,3,5,5,2,3,1,4,4,2,1,2,1,5,4,4,4,3,1,4,12/4/13 16:41
153005076,3,3,1,5,4,1,3,4,4,4,5,5,5,4,2,4,4,1,5,4,4,4,2,4,4,4,3,3,2,3,4,1,5,2,3,2,1,4,3,4,2,3,12/4/13 18:19
152009544,3,5,4,5,2,2,3,5,1,2,5,5,4,4,4,5,1,2,4,1,2,4,1,4,5,5,3,5,1,5,4,3,2,4,2,2,4,4,5,1,3,4,12/4/13 21:04
152001589,3,4,2,4,2,3,2,3,2,0,3,4,2,2,3,3,3,3,3,3,2,2,4,4,3,4,4,3,2,3,4,3,3,4,4,4,0,3,3,3,4,4,12/4/13 22:53
151008979,4,4,3,0,3,3,2,4,2,2,3,2,3,3,4,5,3,4,4,1,2,3,1,3,3,3,4,3,1,4,4,2,3,4,2,4,2,4,4,2,4,5,12/5/13 1:53
153004280,4,5,5,2,4,1,4,5,2,2,5,5,1,4,3,4,4,2,2,3,4,2,3,2,3,5,3,2,2,2,4,1,4,4,1,1,4,4,3,2,5,3,12/5/13 8:23
153002460,3,5,4,4,4,2,4,4,3,1,4,3,1,3,4,5,2,4,4,2,2,2,1,5,4,5,4,4,1,5,4,1,3,4,1,3,4,4,3,1,3,4,12/5/13 13:21
147002356,2,4,5,3,1,2,4,2,2,1,5,2,2,5,4,5,1,1,5,2,2,3,2,5,3,5,4,5,1,4,4,1,5,5,1,4,5,3,4,1,4,5,12/5/13 13:41
144001855,4,5,3,4,3,2,3,5,1,4,4,5,2,4,4,5,2,4,5,4,3,4,4,5,3,4,4,5,4,4,4,5,5,4,1,4,3,1,4,1,3,0,12/5/13 14:39
150009967,1,5,4,5,2,1,1,1,1,1,5,3,1,5,5,5,1,1,4,1,1,1,1,5,5,5,1,5,1,5,4,1,4,4,1,2,2,1,5,2,1,5,12/5/13 15:27
145008394,2,4,3,4,5,2,2,4,3,3,4,0,3,3,4,3,4,3,3,4,4,2,4,2,2,4,4,3,2,2,3,3,4,2,3,4,4,4,4,4,3,3,12/5/13 15:36
147000423,4,4,4,4,3,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,5,3,4,3,3,12/5/13 16:37
152000818,2,3,4,5,3,1,3,5,4,1,5,4,4,5,4,5,1,1,2,2,2,3,1,5,5,4,3,3,1,4,4,4,3,3,1,5,4,5,5,1,2,3,12/5/13 16:55
151000395,3,4,4,4,3,2,5,4,4,3,4,4,1,2,3,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,2,3,5,1,0,3,4,4,2,4,4,12/5/13 22:00
152008897,5,5,5,0,2,1,3,5,3,2,5,5,2,5,5,5,5,3,5,1,2,3,1,5,5,5,4,5,1,5,4,1,2,2,5,4,5,5,5,1,2,5,12/5/13 22:04
151006083,1,5,4,3,3,1,1,3,4,1,5,3,1,5,5,5,3,4,5,1,1,1,1,5,5,5,1,5,1,5,4,1,2,4,1,4,3,4,4,2,5,5,12/5/13 23:42
152009139,4,4,3,4,3,2,4,2,3,2,4,5,2,5,4,5,2,3,2,2,4,3,2,5,4,5,1,4,1,5,4,1,3,4,3,4,3,5,4,4,2,3,12/5/13 23:43
153001833,2,5,5,5,3,1,2,5,3,2,5,0,2,5,4,3,3,1,3,1,2,3,3,5,4,5,3,5,1,5,4,1,5,4,1,3,2,2,5,2,0,4,12/5/13 23:47
151000285,4,5,4,4,5,4,2,4,4,1,4,3,3,3,4,5,3,4,5,2,2,2,2,3,3,5,5,4,3,3,4,4,4,4,4,2,4,3,3,2,3,4,12/6/13 0:42
151003354,1,3,5,5,2,1,3,2,5,1,5,5,1,4,2,1,2,1,3,3,1,5,3,3,5,5,3,5,1,5,4,1,1,4,1,1,3,5,5,4,3,3,12/6/13 1:30
145004497,2,5,5,5,3,1,1,5,3,1,5,2,1,5,5,5,3,1,3,1,5,4,1,5,5,5,5,5,3,4,4,2,4,4,4,3,3,3,3,3,3,3,12/6/13 1:34
153002842,2,5,4,3,2,1,2,2,3,1,0,2,1,5,4,4,2,2,4,2,1,2,1,4,4,4,3,5,1,5,4,1,2,4,1,4,4,3,2,2,4,5,12/6/13 13:27
150006699,2,4,4,5,3,1,4,3,4,1,0,5,2,4,3,5,4,1,2,1,2,1,1,5,5,5,3,4,1,5,4,1,3,3,1,5,4,5,4,1,1,3,12/6/13 13:46
151008453,4,5,3,3,3,2,3,5,2,2,4,5,2,3,5,5,4,3,3,2,2,4,2,4,4,4,3,4,2,4,4,2,3,4,2,3,3,4,4,2,4,3,12/6/13 14:26
154000107,4,5,5,5,3,1,1,3,3,1,5,5,1,5,4,5,3,1,4,1,2,1,2,5,5,5,4,5,1,5,4,1,5,4,1,3,5,5,5,2,5,5,12/6/13 15:16
153002734,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,1,12/6/13 15:25
144005893,3,3,3,5,3,1,1,3,2,1,3,4,2,3,3,4,2,1,3,2,1,4,3,4,1,4,1,3,2,3,4,2,2,3,2,2,2,2,3,2,1,3,12/6/13 16:06
149008859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/6/13 16:15
152006283,4,3,3,5,2,3,4,5,3,1,3,3,1,4,5,5,2,2,5,1,4,5,2,3,3,5,1,4,1,3,4,2,3,5,1,3,1,5,5,1,3,3,12/6/13 16:25
150006259,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12/6/13 16:44
