ItemIndex,Item,Category,ME1,ME2,ME3,ME4,ME5,ME6,ME7,ME8,CH1,CH2,CH3,CH4,CH5,CH6,EM1,EM2,EM3,EM4,EM5,EM6,FC1
78,1STFCI15,FCI,22,22,22,22,22,22,22,22,,,,,,,,,,,,,
79,1STFCI16,FCI,23,23,23,23,23,23,23,23,,,,,,,,,,,,,
80,1STFCI17,FCI,24,24,24,24,24,24,24,24,,,,,,,,,,,,,
81,1STFCI18,FCI,25,25,25,25,25,25,25,25,,,,,,,,,,,,,
82,1STFCI19,FCI,26,26,26,26,26,26,26,26,,,,,,,,,,,,,
83,1STFCI20,FCI,27,27,27,27,27,27,27,27,,,,,,,,,,,,,
84,1STFCI21,FCI,28,28,28,28,28,28,28,28,,,,,,,,,,,,,
85,1STFCI22,FCI,29,29,29,29,29,29,29,29,,,,,,,,,,,,,
86,1STFCI23,FCI,30,30,30,30,30,30,30,30,,,,,,,,,,,,,
87,1STFCI24,FCI,31,31,31,31,31,31,31,31,,,,,,,,,,,,,
88,1STFCI25,FCI,32,32,32,32,32,32,32,32,,,,,,,,,,,,,
89,1STFCI26,FCI,33,33,33,33,33,33,33,33,,,,,,,,,,,,,
90,1STFCI27,FCI,34,34,34,34,34,34,34,34,,,,,,,,,,,,,
91,1STFCI28,FCI,35,35,35,35,35,35,35,35,,,,,,,,,,,,,
92,1STFCI29,FCI,36,36,36,36,36,36,36,36,,,,,,,,,,,,,
93,1STFCI30,FCI,37,37,37,37,37,37,37,37,,,,,,,,,,,,,
94,CCI1,CCI,,,,,,,,,,,,,,,,,,,,,
95,CCI2,CCI,,,,,,,,,,,,,,,,,,,,,
96,CCI3,CCI,,,,,,,,,,,,,,,,,,,,,
97,CCI4,CCI,,,,,,,,,,,,,,,,,,,,,
98,CCI5,CCI,,,,,,,,,,,,,,,,,,,,,
99,CCI6,CCI,,,,,,,,,,,,,,,,,,,,,
100,CCI7,CCI,,,,,,,,,,,,,,,,,,,,,
101,CCI8,CCI,,,,,,,,,,,,,,,,,,,,,
102,CCI9,CCI,,,,,,,,,,,,,,,,,,,,,
103,CCI10,CCI,,,,,,,,,,,,,,,,,,,,,
104,CCI11,CCI,,,,,,,,,,,,,,,,,,,,,
105,CCI12,CCI,,,,,,,,,,,,,,,,,,,,,
106,CCI13,CCI,,,,,,,,,,,,,,,,,,,,,
107,CCI14,CCI,,,,,,,,,,,,,,,,,,,,,
108,CCI15,CCI,,,,,,,,,,,,,,,,,,,,,
109,CCI16,CCI,,,,,,,,,,,,,,,,,,,,,
110,CCI17,CCI,,,,,,,,,,,,,,,,,,,,,
111,CCI18,CCI,,,,,,,,,,,,,,,,,,,,,
112,CCI19,CCI,,,,,,,,,,,,,,,,,,,,,
113,CCI20,CCI,,,,,,,,,,,,,,,,,,,,,
114,CCI21,CCI,,,,,,,,,,,,,,,,,,,,,
115,CCI22,CCI,,,,,,,,,,,,,,,,,,,,,
116,ACS1,ACS,,,,,,,,,,,,,,,,,,,,,
117,ACS2,ACS,,,,,,,,,,,,,,,,,,,,,
118,ACS3,ACS,,,,,,,,,,,,,,,,,,,,,
119,ACS4,ACS,,,,,,,,,,,,,,,,,,,,,
120,ACS5,ACS,,,,,,,,,,,,,,,,,,,,,
121,ACS6,ACS,,,,,,,,,,,,,,,,,,,,,
122,ACS7,ACS,,,,,,,,,,,,,,,,,,,,,
123,ACS8,ACS,,,,,,,,,,,,,,,,,,,,,
124,MBL1,MBL,,,,,,,,,,,,,,,,,,,,,
125,MBL2,MBL,,,,,,,,,,,,,,,,,,,,,
126,MBL3,MBL,,,,,,,,,,,,,,,,,,,,,
127,MBL4,MBL,,,,,,,,,,,,,,,,,,,,,
128,MBL5,MBL,,,,,,,,,,,,,,,,,,,,,
129,MBL6,MBL,,,,,,,,,,,,,,,,,,,,,
